iter	Passed	Remaining
0	77	77220
1	152	76074
2	224	74455
3	300	74843
4	371	74023
5	448	74328
6	524	74376
7	607	75322
8	678	74722
9	759	75196
10	840	75532
11	923	76062
12	995	75591
13	1070	75396
14	1147	75338
15	1221	75119
16	1296	74945
17	1368	74657
18	1441	74444
19	1512	74104
20	1596	74418
21	1682	74801
22	1762	74880
23	1840	74828
24	1921	74920
25	1993	74672
26	2062	74330
27	2133	74061
28	2205	73860
29	2283	73825
30	2354	73600
31	2438	73773
32	2514	73671
33	2592	73645
34	2673	73701
35	2754	73756
36	2825	73528
37	2908	73643
38	2987	73606
39	3063	73523
40	3131	73240
41	3212	73272
42	3283	73066
43	3350	72792
44	3431	72820
45	3506	72717
46	3583	72664
47	3660	72595
48	3733	72457
49	3806	72330
50	3887	72343
51	3967	72336
52	4039	72172
53	4112	72045
54	4193	72044
55	4269	71970
56	4345	71885
57	4425	71879
58	4508	71912
59	4584	71828
60	4656	71683
61	4738	71681
62	4819	71683
63	4894	71577
64	4973	71537
65	5043	71374
66	5126	71385
67	5206	71364
68	5285	71317
69	5354	71142
70	5428	71032
71	5511	71031
72	5584	70915
73	5664	70885
74	5739	70785
75	5819	70748
76	5901	70741
77	5980	70690
78	6053	70571
79	6138	70595
80	6221	70586
81	6290	70426
82	6373	70413
83	6454	70386
84	6526	70255
85	6598	70128
86	6676	70065
87	6755	70015
88	6827	69885
89	6903	69806
90	6985	69780
91	7066	69743
92	7147	69704
93	7217	69566
94	7287	69426
95	7364	69344
96	7444	69300
97	7522	69239
98	7593	69104
99	7672	69049
100	7754	69018
101	7831	68948
102	7911	68903
103	7984	68792
104	8073	68815
105	8156	68792
106	8241	68779
107	8312	68652
108	8389	68582
109	8472	68546
110	8541	68407
111	8622	68362
112	8699	68289
113	8769	68154
114	8847	68085
115	8922	67998
116	8995	67890
117	9072	67812
118	9151	67753
119	9227	67670
120	9302	67579
121	9374	67462
122	9461	67462
123	9529	67323
124	9610	67275
125	9698	67271
126	9773	67184
127	9851	67115
128	9932	67066
129	10000	66928
130	10069	66797
131	10141	66685
132	10216	66601
133	10299	66565
134	10378	66496
135	10453	66412
136	10524	66299
137	10604	66238
138	10679	66148
139	10876	66814
140	10954	66735
141	11036	66682
142	11137	66745
143	11255	66905
144	11368	67035
145	11487	67193
146	11603	67331
147	11734	67550
148	11878	67843
149	12013	68078
150	12105	68064
151	12193	68026
152	12269	67925
153	12344	67816
154	12427	67752
155	12504	67652
156	12584	67572
157	12671	67528
158	12746	67419
159	12819	67304
160	12892	67187
161	12965	67066
162	13036	66942
163	13116	66862
164	13196	66782
165	13269	66664
166	13341	66546
167	13415	66439
168	13496	66365
169	13566	66238
170	13648	66166
171	13725	66071
172	13800	65969
173	13887	65928
174	13958	65803
175	14043	65750
176	14129	65696
177	14198	65566
178	14280	65500
179	14360	65420
180	14445	65364
181	14523	65277
182	14595	65162
183	14668	65050
184	14746	64964
185	14827	64889
186	14910	64823
187	14981	64708
188	15063	64639
189	15142	64553
190	15219	64462
191	15299	64385
192	15379	64307
193	15450	64189
194	15532	64120
195	15611	64041
196	15690	63957
197	15768	63871
198	15845	63778
199	15928	63713
200	16013	63655
201	16096	63590
202	16185	63544
203	16264	63463
204	16348	63401
205	16429	63326
206	16507	63240
207	16592	63178
208	16665	63072
209	16748	63005
210	16835	62955
211	16913	62866
212	16985	62758
213	17065	62679
214	17138	62575
215	17216	62490
216	17287	62378
217	17361	62279
218	17439	62194
219	17518	62112
220	17588	61997
221	17659	61887
222	17739	61810
223	17821	61738
224	17899	61655
225	17974	61558
226	18057	61489
227	18127	61378
228	18204	61290
229	18273	61176
230	18359	61118
231	18438	61037
232	18522	60972
233	18604	60901
234	18674	60792
235	18749	60698
236	18829	60619
237	18904	60526
238	18978	60429
239	19064	60372
240	19131	60253
241	19210	60172
242	19289	60092
243	19368	60011
244	19446	59927
245	19520	59830
246	19593	59733
247	19671	59647
248	19744	59549
249	19819	59458
250	19899	59382
251	19975	59291
252	20040	59170
253	20111	59066
254	20189	58983
255	20263	58891
256	20339	58802
257	20420	58729
258	20497	58644
259	20583	58584
260	20668	58522
261	20748	58445
262	20829	58369
263	20909	58294
264	20974	58174
265	21054	58096
266	21128	58004
267	21209	57931
268	21291	57857
269	21379	57802
270	21455	57714
271	21564	57717
272	21644	57638
273	21721	57555
274	21797	57465
275	21870	57371
276	21947	57286
277	22021	57192
278	22094	57096
279	22164	56993
280	22229	56880
281	22309	56802
282	22377	56694
283	22454	56610
284	22530	56523
285	22601	56424
286	22677	56337
287	22755	56255
288	22827	56160
289	22899	56063
290	22971	55967
291	23043	55872
292	23155	55873
293	23244	55818
294	23314	55717
295	23392	55635
296	23467	55547
297	23532	55435
298	23592	55312
299	23677	55247
300	23752	55159
301	23821	55057
302	23895	54967
303	23970	54879
304	24042	54784
305	24118	54700
306	24186	54596
307	24257	54499
308	24330	54409
309	24412	54338
310	24492	54260
311	24566	54172
312	24646	54096
313	24722	54012
314	24798	53926
315	24874	53842
316	24993	53849
317	25074	53775
318	25149	53688
319	25225	53603
320	25300	53517
321	25396	53473
322	25472	53389
323	25554	53316
324	25633	53237
325	25705	53146
326	25787	53074
327	25871	53004
328	25947	52919
329	26018	52825
330	26093	52737
331	26154	52623
332	26225	52529
333	26299	52441
334	26381	52368
335	26454	52278
336	26534	52202
337	26605	52108
338	26681	52024
339	26764	51954
340	26834	51859
341	26913	51780
342	26990	51698
343	27069	51620
344	27153	51552
345	27233	51475
346	27313	51399
347	27384	51306
348	27456	51215
349	27537	51140
350	27615	51061
351	27693	50980
352	27769	50897
353	27853	50828
354	27933	50753
355	28012	50674
